x,y,z
2.810109338957267 nm,0.1703139104244884 nm,0.7128681183020711 nm
2.499740751771399 nm,0.47791771109149767 nm,0.5862834045741137 nm
1.9385911488602936 nm,0.6745002818214902 nm,0.38152730440602173 nm
2.2822796142621224 nm,0.8904691483209887 nm,0.5086699062406158 nm
1.7130730427709826 nm,1.0916203047532318 nm,0.23182308016591438 nm
1.464184994684751 nm,1.717522508484719 nm,0.07154256791496305 nm
3.0537753354323756 nm,0.27707983599209113 nm,0.7585272048106309 nm
1.560993850221217 nm,0.7753339285396208 nm,0.7017804513923206 nm
2.266931461295252 nm,0.7439916587285351 nm,0.4489085370138184 nm
2.53198191727561 nm,0.7279017234623032 nm,0.29988141297363574 nm
1.5953038723314923 nm,1.0405633993990502 nm,0.24854886137943089 nm
1.5635493601503088 nm,1.4554326777737647 nm,0.06985550615586443 nm
2.848811326265647 nm,0.911379353193077 nm,0.9248769067067011 nm
2.405247106452672 nm,1.204534075375994 nm,0.729666420289365 nm
2.584821826498198 nm,0.7027319614816003 nm,0.45812725673370136 nm
2.807746860180695 nm,0.8488907804393174 nm,0.6520524911699634 nm
1.997380380452831 nm,1.0248984976431783 nm,0.08551249546623557 nm
1.6301571412493558 nm,1.3922896820126407 nm,0.20777818667021528 nm
2.795494242399398 nm,0.820194952006078 nm,0.8028509250787981 nm
2.915641655759925 nm,1.1622782133514313 nm,0.7743779188778324 nm
2.494066841229969 nm,0.9813927386024477 nm,0.43282209711635766 nm
2.6811313512586197 nm,1.0912041474946712 nm,0.41221804038206167 nm
2.573401892587615 nm,1.0220010991864246 nm,0.057614651321032356 nm
2.205499365444188 nm,1.210987021754583 nm,0.1925658083184529 nm
2.6550109020022696 nm,0.9750239438910422 nm,0.8300792808714488 nm
2.8467169194294435 nm,1.252899002547875 nm,0.8301669934378726 nm
2.3629618181145293 nm,1.2505269762188551 nm,0.41160949062181973 nm
2.7685325249645647 nm,1.2004672307495874 nm,0.3921708112550703 nm
2.563116378000592 nm,1.243181941691903 nm,0.1099118073642028 nm
2.59250000500351 nm,1.3683401666364152 nm,0.16664424118728116 nm
2.3714235201203393 nm,1.3198723313879508 nm,0.8559320248693981 nm
2.4208057619282948 nm,1.517828101591417 nm,0.7970595249766079 nm
2.1336386394435896 nm,1.6813028011645952 nm,0.40658321128971525 nm
2.504574190126364 nm,1.4829667913082454 nm,0.43460926114983844 nm
2.315157979799346 nm,1.5405192151544673 nm,0.1021372826378819 nm
2.485297521507381 nm,1.5848971406683352 nm,0.18992156376444966 nm
2.149439025074686 nm,1.6391674545483532 nm,0.8199510005058026 nm
1.74244338724174 nm,1.9933039129228378 nm,0.9739682327131471 nm
2.1712737764361 nm,1.7993954903750948 nm,0.4283655649887598 nm
2.2129759624415977 nm,1.7941159895173322 nm,0.4693046310758082 nm
1.8868229986266536 nm,1.7917705860188917 nm,0.12256463535946115 nm
