x,y,z
1.1808290346100936 nm,2.3862258554018356 nm,0.24102388078689976 nm
1.4760665619702926 nm,2.045247692431372 nm,0.7231374807391311 nm
1.6237473630110224 nm,2.300957624736854 nm,0.7231083064192917 nm
1.623710112576033 nm,1.9600552281859356 nm,0.4820358613844822 nm
1.4761178210005812 nm,2.215745791600502 nm,0.48212489595479924 nm
1.6236907201263169 nm,2.1305929959220506 nm,0.24097665424103443 nm
1.4760752639286097 nm,2.3862004135650112 nm,0.2410464279784902 nm
1.7712687809854222 nm,2.0452834736571797 nm,0.72312755304599 nm
1.9189052460274034 nm,2.301005316530617 nm,0.7231055342337227 nm
1.918920239211367 nm,1.960028571330635 nm,0.4820478067954689 nm
1.7713157920935652 nm,2.215730910543039 nm,0.48202751485800965 nm
1.918881381798568 nm,2.1305402980772032 nm,0.2410153448097212 nm
1.771278329958851 nm,2.3862044640594937 nm,0.24102666905879866 nm
2.066477058934522 nm,2.0453441780857973 nm,0.723191498145348 nm
2.2141305680666097 nm,2.3009709949584503 nm,0.7231467898069949 nm
2.2141122285056314 nm,1.9600740577403473 nm,0.4820212546798433 nm
2.066442609634931 nm,2.2157261979987015 nm,0.4820653298834587 nm
2.2141316444124413 nm,2.1305244852313505 nm,0.2410664267642377 nm
2.0665330586999056 nm,2.3862159213299665 nm,0.24095503355102946 nm
2.3617939913505186 nm,2.045301496653281 nm,0.7231111531723073 nm
2.509344599647375 nm,2.300938947731382 nm,0.7231209275571808 nm
2.509279519243451 nm,1.9600480545616348 nm,0.4820937559913676 nm
2.3617708390047905 nm,2.2157318717794072 nm,0.482122512921426 nm
2.509280021007265 nm,2.1305848970088457 nm,0.24099541587057471 nm
2.361780472505298 nm,2.3861896471163937 nm,0.24105620343508002 nm
2.656934078846505 nm,2.0453586267131514 nm,0.723140397454659 nm
2.8045223526070524 nm,2.300964512014884 nm,0.723159351978097 nm
2.8045431031655226 nm,1.960108523799616 nm,0.4821220134935816 nm
2.65700941668273 nm,2.2157371669318757 nm,0.48211665920930014 nm
2.804567616979798 nm,2.1305026758340113 nm,0.24094859271534969 nm
2.6569264345320116 nm,2.3862056250813493 nm,0.2409262710321845 nm
2.9522376993368162 nm,2.045336799022015 nm,0.7230738039664311 nm
3.0997463892036685 nm,2.3009180639248554 nm,0.723106997898114 nm
3.0997601440837843 nm,1.960102334083544 nm,0.48205310515832994 nm
2.9521796828273845 nm,2.2157426927406294 nm,0.48211159121717373 nm
3.099769659046363 nm,2.130516449414402 nm,0.2410191857273863 nm
2.9521172384597443 nm,2.3862078081397793 nm,0.24105446231444 nm
3.2419645267204773 nm,2.5571130814698617 nm,0.7248123880340994 nm
0.14883715862524438 nm,2.8145593833453386 nm,0.7247077409250328 nm
0.14999929066356776 nm,2.471498282330095 nm,0.4821004733368679 nm
3.24204204537972 nm,2.728835058022391 nm,0.4819868623890738 nm
0.14964183145523727 nm,2.642998474741916 nm,0.24095991736082276 nm
3.2456491252849227 nm,2.8982865617645874 nm,0.2415515486593622 nm
0.29884272780824195 nm,2.55669191608583 nm,0.7231147342958475 nm
0.4427917069126493 nm,2.8122959144569766 nm,0.7231153596539173 nm
0.442744529379087 nm,2.4714287840766485 nm,0.4821204825013446 nm
0.29893989653170444 nm,2.727125850509008 nm,0.4821361566873666 nm
0.4428060692457161 nm,2.6418868575722523 nm,0.24106451523879852 nm
0.29639748466775706 nm,2.8975595692782328 nm,0.24103171242066918 nm
0.5904604903178662 nm,2.55663574675172 nm,0.7231205288000484 nm
0.7380157417713048 nm,2.8123344012773264 nm,0.7231275895708124 nm
0.7380471205375848 nm,2.471413066114492 nm,0.482043381052662 nm
0.5904104164719087 nm,2.727141866557121 nm,0.48210576839497304 nm
0.7380156778186939 nm,2.6418326581974605 nm,0.2409957734980017 nm
0.5904799407091248 nm,2.8975696117297622 nm,0.24100658536276184 nm
0.8856672924700147 nm,2.5566410835553413 nm,0.7232077269578747 nm
1.0332942913428196 nm,2.812344788398521 nm,0.7231950872963889 nm
1.0332723555553271 nm,2.47142041147565 nm,0.4820547710161779 nm
0.8856209101630947 nm,2.7270679457675477 nm,0.4820643454346774 nm
1.03327870597643 nm,2.641884858383395 nm,0.24111616833273675 nm
0.8857046134817707 nm,2.897575502748847 nm,0.24105655756760083 nm
1.1809183045216547 nm,2.5566132715868126 nm,0.7231559944254268 nm
1.328452370068911 nm,2.812286336217454 nm,0.7231385923549126 nm
1.328512437547747 nm,2.4714228391770754 nm,0.48210409013726774 nm
1.1808717027403088 nm,2.7271075387827812 nm,0.4820786033619222 nm
1.3284048240138577 nm,2.6418836267108614 nm,0.2410805485722008 nm
1.1808719492636792 nm,2.8974574563207813 nm,0.2410197854492004 nm
1.4761123773940845 nm,2.556646867064649 nm,0.7231523219829809 nm
1.6236234834363217 nm,2.8123083774016004 nm,0.7231190496901094 nm
1.6237014321856273 nm,2.471421731113643 nm,0.4820870983472763 nm
1.4760080707817325 nm,2.727098006862611 nm,0.4820460680722496 nm
1.623735385738748 nm,2.6418176402376368 nm,0.24108220429353167 nm
1.4760459380513884 nm,2.897501829916245 nm,0.24111894445364188 nm
1.771314887446973 nm,2.556611553491832 nm,0.7231685098094486 nm
1.9188721520919783 nm,2.8123827591140493 nm,0.7230943302611088 nm
1.9189786613142397 nm,2.4714232982111906 nm,0.48210901023140496 nm
1.7713067791211534 nm,2.727105143424552 nm,0.4820594449577189 nm
1.9189406990835192 nm,2.6419151702128034 nm,0.24097705429809713 nm
1.771335800947638 nm,2.897555468270209 nm,0.24102169226830755 nm
2.0666250172568716 nm,2.5566304950884113 nm,0.723153477785435 nm
2.2140977118239293 nm,2.8123283309611846 nm,0.7230841066307705 nm
2.214156909846325 nm,2.471442677542064 nm,0.482138893006389 nm
2.0665151148040692 nm,2.7271514626938043 nm,0.4821064482276935 nm
2.2140796767195985 nm,2.6418678409431955 nm,0.24106688395057324 nm
2.0665312824586555 nm,2.897552755050227 nm,0.24103098121418898 nm
2.361712809120048 nm,2.5565768046471034 nm,0.7231405700271666 nm
2.509320717229315 nm,2.8123314886307185 nm,0.723167830646195 nm
2.5093257886920264 nm,2.4714196046937573 nm,0.4820987472639331 nm
2.361761031416496 nm,2.7270544210369905 nm,0.48204916406231746 nm
2.5093084023846663 nm,2.6418653050716343 nm,0.24105386330461373 nm
2.3617258156315093 nm,2.8974787082812927 nm,0.24100099661440028 nm
2.6569474693903246 nm,2.5566858857093147 nm,0.7231024869965367 nm
2.804494545912065 nm,2.812293702809611 nm,0.7231057436875695 nm
2.8045589466461767 nm,2.4714215282002163 nm,0.4820944836839389 nm
2.6569110993218437 nm,2.7271477618023603 nm,0.4821398883441398 nm
2.804555602827672 nm,2.641872156151173 nm,0.24103984722160862 nm
2.6569489849844854 nm,2.897590616316151 nm,0.24104382036633104 nm
2.952171402845262 nm,2.5566659257663313 nm,0.723111378185878 nm
3.0997909297330395 nm,2.8122705283672804 nm,0.7231419376583058 nm
3.0997537063102936 nm,2.471422043459553 nm,0.48212085324962584 nm
2.9521403517469467 nm,2.7271041710024115 nm,0.4820857610874124 nm
