x,y,z
-0.04788409181381101 nm ps⁻¹,-0.4849154151896729 nm ps⁻¹,-0.328232351093548 nm ps⁻¹
0.03472710180893467 nm ps⁻¹,-0.32433928001051254 nm ps⁻¹,-0.24294248245690275 nm ps⁻¹
-0.15449336272745262 nm ps⁻¹,-0.519587926820533 nm ps⁻¹,-0.5931837537708358 nm ps⁻¹
0.14064288333095248 nm ps⁻¹,-0.39685304254313175 nm ps⁻¹,-0.2273356779961339 nm ps⁻¹
-0.21767090261621705 nm ps⁻¹,-0.14918801791712533 nm ps⁻¹,-0.4719006435898706 nm ps⁻¹
-0.012451339149303265 nm ps⁻¹,-0.5611716837215224 nm ps⁻¹,-0.3410295639168604 nm ps⁻¹
-0.03844858760036174 nm ps⁻¹,-0.43109499495024867 nm ps⁻¹,-0.4933887067140804 nm ps⁻¹
-0.10580631713640866 nm ps⁻¹,-0.4685851137758016 nm ps⁻¹,-0.409782601857444 nm ps⁻¹
0.026076014652507272 nm ps⁻¹,-0.3577859575088719 nm ps⁻¹,-0.5444772843948358 nm ps⁻¹
-0.18293980106782054 nm ps⁻¹,-0.3836718284178827 nm ps⁻¹,-0.4077756823495418 nm ps⁻¹
-0.04952320167655782 nm ps⁻¹,-0.3501729864023384 nm ps⁻¹,-0.34409882707747863 nm ps⁻¹
0.05035662637661743 nm ps⁻¹,-0.16139503916796685 nm ps⁻¹,-0.45720841404952206 nm ps⁻¹
-0.27971801570943444 nm ps⁻¹,-0.4058880235238303 nm ps⁻¹,-0.5577713387446953 nm ps⁻¹
-0.18577463573934735 nm ps⁻¹,-0.24904302578460225 nm ps⁻¹,-0.6108163923091777 nm ps⁻¹
-0.17227175371606612 nm ps⁻¹,-0.4630523778663309 nm ps⁻¹,-0.592696242840898 nm ps⁻¹
-0.19527033167608265 nm ps⁻¹,-0.43415053447801255 nm ps⁻¹,-0.4060069801014853 nm ps⁻¹
0.04693048724439754 nm ps⁻¹,-0.2663098608641863 nm ps⁻¹,-0.43439239574632804 nm ps⁻¹
0.24263070816007754 nm ps⁻¹,-0.3437643317769921 nm ps⁻¹,-0.49246040502262733 nm ps⁻¹
-0.0676334544351422 nm ps⁻¹,-0.4488423856361628 nm ps⁻¹,-0.5564452898879378 nm ps⁻¹
0.06035712646612325 nm ps⁻¹,-0.32092807231884085 nm ps⁻¹,-0.2672901585925124 nm ps⁻¹
-0.09739952740331717 nm ps⁻¹,-0.25620238668773393 nm ps⁻¹,-0.6678272822813025 nm ps⁻¹
