x,y,z
-23410.648219603594 kJ nm⁻¹ mol⁻¹,-188779.31160402758 kJ nm⁻¹ mol⁻¹,-290206.4400687945 kJ nm⁻¹ mol⁻¹
-24003.73337287236 kJ nm⁻¹ mol⁻¹,-188629.25041732477 kJ nm⁻¹ mol⁻¹,-290887.6992764973 kJ nm⁻¹ mol⁻¹
-24023.961538213436 kJ nm⁻¹ mol⁻¹,-185145.0609159064 kJ nm⁻¹ mol⁻¹,-291237.94194130757 kJ nm⁻¹ mol⁻¹
-22564.880094047243 kJ nm⁻¹ mol⁻¹,-188519.41256510984 kJ nm⁻¹ mol⁻¹,-291212.1093162172 kJ nm⁻¹ mol⁻¹
-24172.740766082556 kJ nm⁻¹ mol⁻¹,-178824.690699425 kJ nm⁻¹ mol⁻¹,-293470.78855533694 kJ nm⁻¹ mol⁻¹
-24212.55490449404 kJ nm⁻¹ mol⁻¹,-188294.08723652817 kJ nm⁻¹ mol⁻¹,-290989.2783536474 kJ nm⁻¹ mol⁻¹
-23307.401835959652 kJ nm⁻¹ mol⁻¹,-188881.59483652405 kJ nm⁻¹ mol⁻¹,-290805.8512803318 kJ nm⁻¹ mol⁻¹
-24395.476941679502 kJ nm⁻¹ mol⁻¹,-187671.32828019606 kJ nm⁻¹ mol⁻¹,-291585.98418162455 kJ nm⁻¹ mol⁻¹
-22783.67265713909 kJ nm⁻¹ mol⁻¹,-183769.90620160283 kJ nm⁻¹ mol⁻¹,-291193.9135236545 kJ nm⁻¹ mol⁻¹
-24584.012730936884 kJ nm⁻¹ mol⁻¹,-188636.60881359893 kJ nm⁻¹ mol⁻¹,-290912.8140059305 kJ nm⁻¹ mol⁻¹
-24649.580861807874 kJ nm⁻¹ mol⁻¹,-176560.19302708458 kJ nm⁻¹ mol⁻¹,-292539.8201074845 kJ nm⁻¹ mol⁻¹
-23774.79408601801 kJ nm⁻¹ mol⁻¹,-188584.32969188743 kJ nm⁻¹ mol⁻¹,-291636.35063646355 kJ nm⁻¹ mol⁻¹
-24689.710063610182 kJ nm⁻¹ mol⁻¹,-188104.5030201258 kJ nm⁻¹ mol⁻¹,-290637.80995159334 kJ nm⁻¹ mol⁻¹
-23665.887569437167 kJ nm⁻¹ mol⁻¹,-188404.34969627007 kJ nm⁻¹ mol⁻¹,-290995.5785561478 kJ nm⁻¹ mol⁻¹
-24484.902761550227 kJ nm⁻¹ mol⁻¹,-181989.23051614407 kJ nm⁻¹ mol⁻¹,-291369.4095629986 kJ nm⁻¹ mol⁻¹
-23809.992028083492 kJ nm⁻¹ mol⁻¹,-188951.62787826709 kJ nm⁻¹ mol⁻¹,-291289.6107501628 kJ nm⁻¹ mol⁻¹
-24250.596102423573 kJ nm⁻¹ mol⁻¹,-174195.72164866567 kJ nm⁻¹ mol⁻¹,-292671.85887697345 kJ nm⁻¹ mol⁻¹
-23451.997003450713 kJ nm⁻¹ mol⁻¹,-188014.24982081453 kJ nm⁻¹ mol⁻¹,-290398.07349058735 kJ nm⁻¹ mol⁻¹
-22525.269454468755 kJ nm⁻¹ mol⁻¹,-187241.1996746466 kJ nm⁻¹ mol⁻¹,-290847.5582597829 kJ nm⁻¹ mol⁻¹
-23260.060574809977 kJ nm⁻¹ mol⁻¹,-186937.16882430122 kJ nm⁻¹ mol⁻¹,-290942.71538001794 kJ nm⁻¹ mol⁻¹
-25026.6789945544 kJ nm⁻¹ mol⁻¹,-181358.25797132525 kJ nm⁻¹ mol⁻¹,-291181.08555595233 kJ nm⁻¹ mol⁻¹
-23590.09276790342 kJ nm⁻¹ mol⁻¹,-188339.73618065717 kJ nm⁻¹ mol⁻¹,-291339.41143915843 kJ nm⁻¹ mol⁻¹
-24190.016924145995 kJ nm⁻¹ mol⁻¹,-170131.48424293764 kJ nm⁻¹ mol⁻¹,-294515.2990352972 kJ nm⁻¹ mol⁻¹
-23252.879804011216 kJ nm⁻¹ mol⁻¹,-187786.44871389592 kJ nm⁻¹ mol⁻¹,-291580.68878474453 kJ nm⁻¹ mol⁻¹
-24879.513567582137 kJ nm⁻¹ mol⁻¹,-188552.63051912154 kJ nm⁻¹ mol⁻¹,-289910.0867064625 kJ nm⁻¹ mol⁻¹
-24601.05695740071 kJ nm⁻¹ mol⁻¹,-188151.95973492583 kJ nm⁻¹ mol⁻¹,-291070.264825704 kJ nm⁻¹ mol⁻¹
-21404.02007307917 kJ nm⁻¹ mol⁻¹,-182070.60327182524 kJ nm⁻¹ mol⁻¹,-291136.9186491827 kJ nm⁻¹ mol⁻¹
-23777.233986546824 kJ nm⁻¹ mol⁻¹,-187821.303928131 kJ nm⁻¹ mol⁻¹,-291114.20190902665 kJ nm⁻¹ mol⁻¹
-18431.826981666163 kJ nm⁻¹ mol⁻¹,-178476.40601985628 kJ nm⁻¹ mol⁻¹,-292432.05846001505 kJ nm⁻¹ mol⁻¹
-23964.50675055514 kJ nm⁻¹ mol⁻¹,-187887.40919440083 kJ nm⁻¹ mol⁻¹,-291674.7862043863 kJ nm⁻¹ mol⁻¹
-23291.188989706818 kJ nm⁻¹ mol⁻¹,-187167.3623541862 kJ nm⁻¹ mol⁻¹,-290889.4408512115 kJ nm⁻¹ mol⁻¹
-23770.992885914296 kJ nm⁻¹ mol⁻¹,-187795.82834983995 kJ nm⁻¹ mol⁻¹,-290451.38810941466 kJ nm⁻¹ mol⁻¹
-1.4240389656789914e7 kJ nm⁻¹ mol⁻¹,1.0662659736726708e6 kJ nm⁻¹ mol⁻¹,4.0932265034225606e6 kJ nm⁻¹ mol⁻¹
4.649032781190549e6 kJ nm⁻¹ mol⁻¹,1.0884964071011634e6 kJ nm⁻¹ mol⁻¹,4.1488681241937764e6 kJ nm⁻¹ mol⁻¹
6.3228668594691595e6 kJ nm⁻¹ mol⁻¹,-157215.45082297327 kJ nm⁻¹ mol⁻¹,-215221.05373337172 kJ nm⁻¹ mol⁻¹
-1.619887510098936e7 kJ nm⁻¹ mol⁻¹,-168781.36430385197 kJ nm⁻¹ mol⁻¹,-217374.5211545311 kJ nm⁻¹ mol⁻¹
6.352801663427142e6 kJ nm⁻¹ mol⁻¹,-171603.55453662784 kJ nm⁻¹ mol⁻¹,-206026.14925278904 kJ nm⁻¹ mol⁻¹
-1.6536772818027254e7 kJ nm⁻¹ mol⁻¹,-166791.2099780065 kJ nm⁻¹ mol⁻¹,-221117.3515603846 kJ nm⁻¹ mol⁻¹
9.632927992965968e6 kJ nm⁻¹ mol⁻¹,-168171.01299043832 kJ nm⁻¹ mol⁻¹,-221702.9959151007 kJ nm⁻¹ mol⁻¹
-149332.22976938525 kJ nm⁻¹ mol⁻¹,-169518.11282933288 kJ nm⁻¹ mol⁻¹,-218280.6113542858 kJ nm⁻¹ mol⁻¹
-147880.3990503443 kJ nm⁻¹ mol⁻¹,-173042.5273332622 kJ nm⁻¹ mol⁻¹,-228879.0743290339 kJ nm⁻¹ mol⁻¹
9.909622126284774e6 kJ nm⁻¹ mol⁻¹,-169056.40078341978 kJ nm⁻¹ mol⁻¹,-218700.6553165634 kJ nm⁻¹ mol⁻¹
-80457.24814483276 kJ nm⁻¹ mol⁻¹,-171929.51187656628 kJ nm⁻¹ mol⁻¹,-231775.45789376288 kJ nm⁻¹ mol⁻¹
1.0160690927019386e7 kJ nm⁻¹ mol⁻¹,-175369.85899270832 kJ nm⁻¹ mol⁻¹,-233738.5855480049 kJ nm⁻¹ mol⁻¹
-7879.938081857729 kJ nm⁻¹ mol⁻¹,-168604.2574083369 kJ nm⁻¹ mol⁻¹,-225353.80429413714 kJ nm⁻¹ mol⁻¹
-24563.527423492647 kJ nm⁻¹ mol⁻¹,-169044.88610357157 kJ nm⁻¹ mol⁻¹,-225233.2835059511 kJ nm⁻¹ mol⁻¹
-23421.450139434324 kJ nm⁻¹ mol⁻¹,-168991.08775411826 kJ nm⁻¹ mol⁻¹,-224906.4917442218 kJ nm⁻¹ mol⁻¹
-8346.003918841292 kJ nm⁻¹ mol⁻¹,-169008.32433588797 kJ nm⁻¹ mol⁻¹,-225242.32216148448 kJ nm⁻¹ mol⁻¹
-22667.096280690297 kJ nm⁻¹ mol⁻¹,-169867.13470015978 kJ nm⁻¹ mol⁻¹,-224513.2150457905 kJ nm⁻¹ mol⁻¹
-14201.826986885486 kJ nm⁻¹ mol⁻¹,-167396.196820407 kJ nm⁻¹ mol⁻¹,-224913.204761277 kJ nm⁻¹ mol⁻¹
-24667.80123187731 kJ nm⁻¹ mol⁻¹,-169034.16424302704 kJ nm⁻¹ mol⁻¹,-225480.43711024313 kJ nm⁻¹ mol⁻¹
-23624.01077150258 kJ nm⁻¹ mol⁻¹,-168373.32561646617 kJ nm⁻¹ mol⁻¹,-225276.7486067981 kJ nm⁻¹ mol⁻¹
-24815.76236849396 kJ nm⁻¹ mol⁻¹,-169293.0453154398 kJ nm⁻¹ mol⁻¹,-225798.97874700025 kJ nm⁻¹ mol⁻¹
-23252.034467132078 kJ nm⁻¹ mol⁻¹,-168547.06786106527 kJ nm⁻¹ mol⁻¹,-225426.54379026126 kJ nm⁻¹ mol⁻¹
-23985.734083333766 kJ nm⁻¹ mol⁻¹,-168670.37202054943 kJ nm⁻¹ mol⁻¹,-225214.2268120967 kJ nm⁻¹ mol⁻¹
-23528.455322658716 kJ nm⁻¹ mol⁻¹,-169796.75309746488 kJ nm⁻¹ mol⁻¹,-224250.67176726946 kJ nm⁻¹ mol⁻¹
-22260.010901014102 kJ nm⁻¹ mol⁻¹,-168363.75397415253 kJ nm⁻¹ mol⁻¹,-224895.77157875433 kJ nm⁻¹ mol⁻¹
-22909.559304509967 kJ nm⁻¹ mol⁻¹,-169698.5314477041 kJ nm⁻¹ mol⁻¹,-224871.19465454112 kJ nm⁻¹ mol⁻¹
-23111.27745410429 kJ nm⁻¹ mol⁻¹,-168500.65039348445 kJ nm⁻¹ mol⁻¹,-225101.14397157327 kJ nm⁻¹ mol⁻¹
-22859.254142727717 kJ nm⁻¹ mol⁻¹,-168185.74547712517 kJ nm⁻¹ mol⁻¹,-225682.7680158455 kJ nm⁻¹ mol⁻¹
-24490.721958970258 kJ nm⁻¹ mol⁻¹,-169523.62727240293 kJ nm⁻¹ mol⁻¹,-224334.65703564207 kJ nm⁻¹ mol⁻¹
-25058.1895784418 kJ nm⁻¹ mol⁻¹,-168774.12915737368 kJ nm⁻¹ mol⁻¹,-223971.0251148506 kJ nm⁻¹ mol⁻¹
-23866.846991244078 kJ nm⁻¹ mol⁻¹,-168173.19429047673 kJ nm⁻¹ mol⁻¹,-225266.1717985507 kJ nm⁻¹ mol⁻¹
-23869.3474998054 kJ nm⁻¹ mol⁻¹,-169180.0939595244 kJ nm⁻¹ mol⁻¹,-225538.61948339167 kJ nm⁻¹ mol⁻¹
