x,y,z
-23681.55786372314 kJ nm⁻¹ mol⁻¹,-188289.6510866157 kJ nm⁻¹ mol⁻¹,-291401.5349380439 kJ nm⁻¹ mol⁻¹
-23507.780440049657 kJ nm⁻¹ mol⁻¹,-188939.1136654922 kJ nm⁻¹ mol⁻¹,-291154.67798754835 kJ nm⁻¹ mol⁻¹
-23767.226464587617 kJ nm⁻¹ mol⁻¹,-183107.87445122542 kJ nm⁻¹ mol⁻¹,-290977.6038680945 kJ nm⁻¹ mol⁻¹
-23851.368589152644 kJ nm⁻¹ mol⁻¹,-189063.41770256785 kJ nm⁻¹ mol⁻¹,-291908.98664283333 kJ nm⁻¹ mol⁻¹
-24322.22788252775 kJ nm⁻¹ mol⁻¹,-188043.1646838043 kJ nm⁻¹ mol⁻¹,-291069.09239452786 kJ nm⁻¹ mol⁻¹
-23804.175132161534 kJ nm⁻¹ mol⁻¹,-189789.54473966488 kJ nm⁻¹ mol⁻¹,-290862.5353836939 kJ nm⁻¹ mol⁻¹
-23980.9381395657 kJ nm⁻¹ mol⁻¹,-188245.93030410327 kJ nm⁻¹ mol⁻¹,-291355.357324152 kJ nm⁻¹ mol⁻¹
-23485.266665135805 kJ nm⁻¹ mol⁻¹,-189087.02409309227 kJ nm⁻¹ mol⁻¹,-291538.4279228224 kJ nm⁻¹ mol⁻¹
-23868.743434693144 kJ nm⁻¹ mol⁻¹,-181188.37280999022 kJ nm⁻¹ mol⁻¹,-291624.51330684393 kJ nm⁻¹ mol⁻¹
-23011.5533165806 kJ nm⁻¹ mol⁻¹,-188210.22728129663 kJ nm⁻¹ mol⁻¹,-291551.8126433355 kJ nm⁻¹ mol⁻¹
-23671.046020989776 kJ nm⁻¹ mol⁻¹,-188245.21691248013 kJ nm⁻¹ mol⁻¹,-291185.03784228646 kJ nm⁻¹ mol⁻¹
-23351.972227573166 kJ nm⁻¹ mol⁻¹,-189067.47696581748 kJ nm⁻¹ mol⁻¹,-290763.31075850833 kJ nm⁻¹ mol⁻¹
-25219.73561530031 kJ nm⁻¹ mol⁻¹,-185229.06036415914 kJ nm⁻¹ mol⁻¹,-291567.9500777444 kJ nm⁻¹ mol⁻¹
-24304.660600824343 kJ nm⁻¹ mol⁻¹,-188713.361240729 kJ nm⁻¹ mol⁻¹,-291866.3415707657 kJ nm⁻¹ mol⁻¹
-24866.180772680793 kJ nm⁻¹ mol⁻¹,-178240.98879276714 kJ nm⁻¹ mol⁻¹,-293298.4891425046 kJ nm⁻¹ mol⁻¹
-23773.116412831358 kJ nm⁻¹ mol⁻¹,-189103.48007875885 kJ nm⁻¹ mol⁻¹,-290824.0273790658 kJ nm⁻¹ mol⁻¹
-24049.15883305128 kJ nm⁻¹ mol⁻¹,-189347.34688850873 kJ nm⁻¹ mol⁻¹,-290764.01323341305 kJ nm⁻¹ mol⁻¹
-24162.395648316076 kJ nm⁻¹ mol⁻¹,-188327.15776192705 kJ nm⁻¹ mol⁻¹,-292089.92443798896 kJ nm⁻¹ mol⁻¹
-23410.752821306934 kJ nm⁻¹ mol⁻¹,-184353.449081348 kJ nm⁻¹ mol⁻¹,-291408.98458244913 kJ nm⁻¹ mol⁻¹
-23239.140009020342 kJ nm⁻¹ mol⁻¹,-189208.37457000618 kJ nm⁻¹ mol⁻¹,-291522.4797556238 kJ nm⁻¹ mol⁻¹
-24038.023682157047 kJ nm⁻¹ mol⁻¹,-176216.90759452604 kJ nm⁻¹ mol⁻¹,-292449.367531676 kJ nm⁻¹ mol⁻¹
-24401.911421353758 kJ nm⁻¹ mol⁻¹,-188844.55130178292 kJ nm⁻¹ mol⁻¹,-290715.67395484814 kJ nm⁻¹ mol⁻¹
-23615.211034427633 kJ nm⁻¹ mol⁻¹,-188453.14351584302 kJ nm⁻¹ mol⁻¹,-291122.9978880589 kJ nm⁻¹ mol⁻¹
-24033.099565397602 kJ nm⁻¹ mol⁻¹,-187423.95350079608 kJ nm⁻¹ mol⁻¹,-291887.00901197374 kJ nm⁻¹ mol⁻¹
-24655.41004849831 kJ nm⁻¹ mol⁻¹,-181896.87628553287 kJ nm⁻¹ mol⁻¹,-291864.27764248225 kJ nm⁻¹ mol⁻¹
-24008.408591972202 kJ nm⁻¹ mol⁻¹,-188656.74147637608 kJ nm⁻¹ mol⁻¹,-291909.4633235759 kJ nm⁻¹ mol⁻¹
