x,y,z
2.8045154971628077 nm,0.9374400110863542 nm,0.482074246599072 nm
2.6569191640931376 nm,1.1930329099001715 nm,0.4819936336002532 nm
2.8045408603263002 nm,1.1078990477119566 nm,0.24099927158922838 nm
2.6570072283263793 nm,1.363548266820479 nm,0.24100673783129334 nm
2.952236600320516 nm,1.0226987009226187 nm,0.7231228550813599 nm
3.0997349916663293 nm,1.278268486247787 nm,0.7231573765997618 nm
3.0998170806643666 nm,0.9374392622161282 nm,0.4820587731017151 nm
2.9521193007027042 nm,1.1931244263683438 nm,0.48209488673106105 nm
3.099740480175502 nm,1.107807461354804 nm,0.24101260891115747 nm
2.952212684738689 nm,1.3635285632247651 nm,0.2410712924504023 nm
3.244116442448546 nm,1.5342639674914444 nm,0.7241366677650647 nm
0.14839694311915427 nm,1.790690190882729 nm,0.7240589378454964 nm
0.14885417407135373 nm,1.4485778704845378 nm,0.4814300737584012 nm
3.243651901539223 nm,1.7044153054178506 nm,0.48210289366369335 nm
0.14884552067918352 nm,1.618520726735569 nm,0.24103888425575248 nm
3.243582787416667 nm,1.8748885748320463 nm,0.24100850670008445 nm
0.29735080947635095 nm,1.5339869017107253 nm,0.7231032169102196 nm
0.44273071145859666 nm,1.78964659953448 nm,0.7231052837966606 nm
0.4428261318035356 nm,1.4487366808661983 nm,0.48208610021963666 nm
0.29747280318656405 nm,1.7044538615924332 nm,0.4820008868817123 nm
0.44276462464097643 nm,1.619195044988211 nm,0.24100951723644776 nm
0.29743320286625846 nm,1.8748417957330485 nm,0.24102352126890933 nm
0.5904498144920959 nm,1.5339668281993348 nm,0.7231340833747416 nm
0.7380447123743726 nm,1.7896318318251834 nm,0.7231216436729925 nm
0.7380184830618736 nm,1.4487499554092578 nm,0.48204941846000127 nm
0.5904291152766825 nm,1.7044401084530136 nm,0.482134684269153 nm
0.7380228224985902 nm,1.6191809698088173 nm,0.24100346880328527 nm
0.5904405206364401 nm,1.8748944544677748 nm,0.24107049200690042 nm
0.8856667315005261 nm,1.5339524433585474 nm,0.7231213156068167 nm
1.0332429044386167 nm,1.7896410292062637 nm,0.7231828888454483 nm
1.0332830709155898 nm,1.448785527105732 nm,0.4820780027493415 nm
0.8857078000167666 nm,1.7044628967901947 nm,0.4820861396708425 nm
1.033227707161913 nm,1.6191758111634424 nm,0.2410180784755941 nm
0.8856760534795756 nm,1.8748402307703167 nm,0.24100301794200274 nm
1.180843132392705 nm,1.5339781452482237 nm,0.7231079430800127 nm
1.328439612510811 nm,1.789648052685879 nm,0.7230511633966381 nm
