x,y,z
0.4427890135873847 nm,2.812414529453462 nm,0.7231036163867441 nm
0.44280237411086515 nm,2.4714181272288815 nm,0.4821740687076072 nm
0.29887801633085415 nm,2.7270909680025213 nm,0.48211222091462713 nm
0.44285629456873016 nm,2.6418544792598477 nm,0.24104033003454395 nm
0.29645323939485635 nm,2.897524657053445 nm,0.24098390476976417 nm
0.5904562238905137 nm,2.556656667946182 nm,0.7232059145345235 nm
0.7380338917968419 nm,2.812340277665452 nm,0.723166809609523 nm
0.7381057220207425 nm,2.4714439715366137 nm,0.4821165301118404 nm
0.5903892480595948 nm,2.727174624608315 nm,0.4820391204013107 nm
0.7380243582432819 nm,2.6418281680719193 nm,0.24100024211061521 nm
0.5904405484967227 nm,2.897624497238426 nm,0.24106668752152785 nm
0.8856426456082254 nm,2.55665020741797 nm,0.7230502172477837 nm
1.0332076679553885 nm,2.8123786621160285 nm,0.7231482767750097 nm
1.0332154778605809 nm,2.4714686174387555 nm,0.4821191694752317 nm
0.8856107848797725 nm,2.727130082278485 nm,0.4821326258267455 nm
1.033308000577225 nm,2.641720942839815 nm,0.24098409797613107 nm
0.885632566279493 nm,2.897554828664387 nm,0.2410527273742229 nm
1.1808264050227308 nm,2.5566283471676314 nm,0.7231757098623698 nm
1.3285294655053612 nm,2.8123158803300488 nm,0.7231190417495709 nm
1.328473570121772 nm,2.47139398909426 nm,0.48215664255269575 nm
1.1808699745934124 nm,2.7270863481210554 nm,0.4820694771688704 nm
1.3285124247838684 nm,2.6419290028613087 nm,0.24107128611805304 nm
1.1808931590329992 nm,2.8975733951203306 nm,0.24101297554050066 nm
1.4761008449001083 nm,2.5567445240448583 nm,0.7231366464758702 nm
1.6236226449104452 nm,2.812265662279799 nm,0.7231233824141368 nm
1.6237380418624743 nm,2.4713907473886665 nm,0.4821082308914797 nm
1.4760957759103148 nm,2.7270396356925297 nm,0.482118401154375 nm
1.623792992976467 nm,2.6418957798030824 nm,0.24094801294625073 nm
1.476098736010867 nm,2.8975293261262833 nm,0.24108940256901237 nm
1.771319395885476 nm,2.5567056865948694 nm,0.7230281217732136 nm
1.918974637408998 nm,2.8123140875648365 nm,0.7230778019035703 nm
1.9188527647247746 nm,2.4714235388436596 nm,0.4820598723948747 nm
1.7712346003062764 nm,2.727051939504957 nm,0.48203697915905414 nm
1.9189092397365461 nm,2.641821200790923 nm,0.24107892877144718 nm
1.7713352458478824 nm,2.8975242899898555 nm,0.24099369638752607 nm
2.0665253678259687 nm,2.556625685375917 nm,0.7230804958926944 nm
2.2141624231984163 nm,2.81232938021051 nm,0.7231817085488107 nm
2.214125703861595 nm,2.4714060286213484 nm,0.4820703720072708 nm
2.0665751252144533 nm,2.7271366976541866 nm,0.4820693730003529 nm
2.2140635376180824 nm,2.6418954033613793 nm,0.24104976908566447 nm
2.066466370296344 nm,2.897479608271486 nm,0.24098665510817052 nm
2.361754632724329 nm,2.5566550603694562 nm,0.7231584447963204 nm
2.509327435289663 nm,2.8123901801494813 nm,0.7231683558079092 nm
2.5093382309780146 nm,2.471469847797779 nm,0.4821820110942378 nm
2.3616991398853107 nm,2.7271053134818195 nm,0.48206187225691494 nm
2.5094201846904998 nm,2.6418705948052605 nm,0.24105458392545764 nm
2.361766977595032 nm,2.897476671796538 nm,0.2410569382408083 nm
2.656982658183349 nm,2.5566105235523704 nm,0.7230983323309015 nm
2.8046001905314824 nm,2.812327304583482 nm,0.7231558382387416 nm
2.80452947728036 nm,2.4714367611830954 nm,0.48220520016130913 nm
2.656930353263249 nm,2.7271340012862813 nm,0.482122336550476 nm
2.8046281709499805 nm,2.6418786473667932 nm,0.2410387920386674 nm
2.6569060252773493 nm,2.8976035255127544 nm,0.24099785409274618 nm
2.952211762574783 nm,2.5567166588371872 nm,0.7231511708751085 nm
3.099786089007352 nm,2.8123738194753534 nm,0.7230687236062401 nm
3.0997820018930904 nm,2.47148781267244 nm,0.4820806536286334 nm
2.952154422211604 nm,2.727018640119183 nm,0.48217859087997206 nm
