r,v,Nv,Nvib,Et_i,θi,θorient,vib_phase,xi,yi,mN,mO
1.111489007,9.10E-02,,,,,,,,,,
1.124688152,0.144928928,,,,,,,,,,
1.142367519,0.171696083,,,,,,,,,,
1.161421252,0.170268799,,,,,,,,,,
1.178940979,0.144754472,,,,,,,,,,
1.192616505,0.101497273,,,,,,,,,,
1.200865022,4.72E-02,,,,,,,,,,
1.202818436,-1.19E-02,,,,,,,,,,
1.19828027,-6.99E-02,,,,,,,,,,
1.187712278,-0.120541016,,,,,,,,,,
1.172263767,-0.157493859,,,,,,,,,,
1.15381265,-0.174042955,,,,,,,,,,
1.134937118,-0.164439567,,,,,,,,,,
1.118691264,-0.126266973,,,,,,,,,,
1.10807514,-6.34E-02,,,,,,,,,,
1.105250152,1.29E-02,,,,,,,,,,
1.110819592,8.65E-02,,,,,,,,,,
1.123605549,0.142044876,,,,,,,,,,
1.141075531,0.170784393,,,,,,,,,,
1.160133091,0.171200929,,,,,,,,,,
1.177839815,0.147147941,,,,,,,,,,
1.191837933,0.104892001,,,,,,,,,,
1.200494261,5.11E-02,,,,,,,,,,
1.202893166,-7.86E-03,,,,,,,,,,
1.198793041,-6.61E-02,,,,,,,,,,
1.188609982,-0.117427901,,,,,,,,,,
1.173444636,-0.155536219,,,,,,,,,,
1.155124441,-0.173689436,,,,,,,,,,
1.136183729,-0.166011403,,,,,,,,,,
1.119657127,-0.129760766,,,,,,,,,,
1.108571698,-6.83E-02,,,,,,,,,,
1.105172605,7.61E-03,,,,,,,,,,
1.110184671,8.18E-02,,,,,,,,,,
1.122545194,0.139031442,,,,,,,,,,
1.139790932,0.169737365,,,,,,,,,,
1.158838333,0.172017077,,,,,,,,,,
1.176720915,0.14945569,,,,,,,,,,
1.191033951,0.108232726,,,,,,,,,,
1.200093804,5.50E-02,,,,,,,,,,
1.202937071,-3.78E-03,,,,,,,,,,
1.199276934,-6.22E-02,,,,,,,,,,
1.189483963,-0.114252559,,,,,,,,,,
1.174610379,-0.153484464,,,,,,,,,,
1.156433101,-0.173213234,,,,,,,,,,
1.137441682,-0.167446397,,,,,,,,,,
1.120648889,-0.133132654,,,,,,,,,,
1.109105031,-7.31E-02,,,,,,,,,,
1.105135359,2.26E-03,,,,,,,,,,
1.109584885,7.71E-02,,,,,,,,,,
1.121508056,0.135890315,,,,,,,,,,
1.138514745,0.168554425,,,,,,,,,,
1.157537862,0.172715421,,,,,,,,,,
1.175584935,0.151675526,,,,,,,,,,
1.190204976,0.111517324,,,,,,,,,,
1.199663842,5.89E-02,,,,,,,,,,
1.20295013,3.14E-04,,,,,,,,,,
1.199731713,-5.83E-02,,,,,,,,,,
1.19033376,-0.111017143,,,,,,,,,,
1.175760295,-0.151340764,,,,,,,,,,
1.157737711,-0.172616006,,,,,,,,,,
1.138709946,-0.168744753,,,,,,,,,,
1.121665623,-0.136380435,,,,,,,,,,
1.109674596,-7.79E-02,,,,,,,,,,
1.105138454,-3.08E-03,,,,,,,,,,
1.109020842,7.24E-02,,,,,,,,,,
1.120495091,0.132623358,,,,,,,,,,
1.137247996,0.167235125,,,,,,,,,,
1.156232571,0.173294192,,,,,,,,,,
1.174432546,0.153805262,,,,,,,,,,
1.18935144,0.114743663,,,,,,,,,,
1.199204582,6.28E-02,,,,,,,,,,
1.202932338,4.40E-03,,,,,,,,,,
1.200157161,-5.44E-02,,,,,,,,,,
1.191158929,-0.107723796,,,,,,,,,,
1.176893698,-0.149107298,,,,,,,,,,
1.159037363,-0.171899472,,,,,,,,,,
