x,y,z,N,dnn,a,aPBCx,aPBCy,aPBCz,α,β,γ
23.61736649,18.74880274,-4.820874748,,,,,,,,,
26.5695373,15.33992951,0,,,,,,,,,
28.04562271,17.89658443,0,,,,,,,,,
28.04562271,14.48771121,-2.410437374,,,,,,,,,
26.5695373,17.04436613,-2.410437374,,,,,,,,,
28.04562271,16.19214782,-4.820874748,,,,,,,,,
26.5695373,18.74880274,-4.820874748,,,,,,,,,
29.52170811,15.33992951,0,,,,,,,,,
30.99779352,17.89658443,0,,,,,,,,,
30.99779352,14.48771121,-2.410437374,,,,,,,,,
29.52170811,17.04436613,-2.410437374,,,,,,,,,
30.99779352,16.19214782,-4.820874748,,,,,,,,,
29.52170811,18.74880274,-4.820874748,,,,,,,,,
0,20.45323935,0,,,,,,,,,
1.476085406,23.00989427,0,,,,,,,,,
1.476085406,19.60102105,-2.410437374,,,,,,,,,
0,22.15767596,-2.410437374,,,,,,,,,
1.476085406,21.30545766,-4.820874748,,,,,,,,,
0,23.86211258,-4.820874748,,,,,,,,,
2.952170811,20.45323935,0,,,,,,,,,
4.428256217,23.00989427,0,,,,,,,,,
4.428256217,19.60102105,-2.410437374,,,,,,,,,
2.952170811,22.15767596,-2.410437374,,,,,,,,,
4.428256217,21.30545766,-4.820874748,,,,,,,,,
2.952170811,23.86211258,-4.820874748,,,,,,,,,
5.904341623,20.45323935,0,,,,,,,,,
7.380427029,23.00989427,0,,,,,,,,,
7.380427029,19.60102105,-2.410437374,,,,,,,,,
5.904341623,22.15767596,-2.410437374,,,,,,,,,
7.380427029,21.30545766,-4.820874748,,,,,,,,,
5.904341623,23.86211258,-4.820874748,,,,,,,,,
8.856512434,20.45323935,0,,,,,,,,,
10.33259784,23.00989427,0,,,,,,,,,
10.33259784,19.60102105,-2.410437374,,,,,,,,,
8.856512434,22.15767596,-2.410437374,,,,,,,,,
10.33259784,21.30545766,-4.820874748,,,,,,,,,
8.856512434,23.86211258,-4.820874748,,,,,,,,,
11.80868325,20.45323935,0,,,,,,,,,
13.28476865,23.00989427,0,,,,,,,,,
13.28476865,19.60102105,-2.410437374,,,,,,,,,
11.80868325,22.15767596,-2.410437374,,,,,,,,,
13.28476865,21.30545766,-4.820874748,,,,,,,,,
11.80868325,23.86211258,-4.820874748,,,,,,,,,
14.76085406,20.45323935,0,,,,,,,,,
16.23693946,23.00989427,0,,,,,,,,,
16.23693946,19.60102105,-2.410437374,,,,,,,,,
14.76085406,22.15767596,-2.410437374,,,,,,,,,
16.23693946,21.30545766,-4.820874748,,,,,,,,,
14.76085406,23.86211258,-4.820874748,,,,,,,,,
17.71302487,20.45323935,0,,,,,,,,,
19.18911027,23.00989427,0,,,,,,,,,
19.18911027,19.60102105,-2.410437374,,,,,,,,,
17.71302487,22.15767596,-2.410437374,,,,,,,,,
19.18911027,21.30545766,-4.820874748,,,,,,,,,
17.71302487,23.86211258,-4.820874748,,,,,,,,,
20.66519568,20.45323935,0,,,,,,,,,
22.14128109,23.00989427,0,,,,,,,,,
22.14128109,19.60102105,-2.410437374,,,,,,,,,
20.66519568,22.15767596,-2.410437374,,,,,,,,,
22.14128109,21.30545766,-4.820874748,,,,,,,,,
20.66519568,23.86211258,-4.820874748,,,,,,,,,
23.61736649,20.45323935,0,,,,,,,,,
25.0934519,23.00989427,0,,,,,,,,,
