x,y,z
-0.0042028002891898765 nm ps⁻¹,-0.4157385775018555 nm ps⁻¹,-0.549116826946394 nm ps⁻¹
-0.1251203307644507 nm ps⁻¹,-0.31777285564004293 nm ps⁻¹,-0.5419860906340632 nm ps⁻¹
-0.011994943084220978 nm ps⁻¹,-0.4907736600712333 nm ps⁻¹,-0.27392907513578296 nm ps⁻¹
-0.06021210154170923 nm ps⁻¹,-0.30638230060818256 nm ps⁻¹,-0.3235845656688562 nm ps⁻¹
-0.18103859769554626 nm ps⁻¹,-0.38417564236667073 nm ps⁻¹,-0.3887912511680722 nm ps⁻¹
-0.11567793547771074 nm ps⁻¹,-0.4529271252765451 nm ps⁻¹,-0.7387124039051989 nm ps⁻¹
-0.09431992846350125 nm ps⁻¹,-0.43363728132868257 nm ps⁻¹,-0.6274145696448334 nm ps⁻¹
0.11972305802677732 nm ps⁻¹,-0.5365218871173026 nm ps⁻¹,-0.4121140383416738 nm ps⁻¹
-0.13133695007890364 nm ps⁻¹,-0.3640946964293581 nm ps⁻¹,-0.48242066214233154 nm ps⁻¹
-0.057817915604424674 nm ps⁻¹,-0.47914671887435173 nm ps⁻¹,-0.5080112191626829 nm ps⁻¹
-0.03073487457537078 nm ps⁻¹,-0.5432570778143148 nm ps⁻¹,-0.4230732065380664 nm ps⁻¹
-0.1297248464600981 nm ps⁻¹,-0.3967797668786424 nm ps⁻¹,-0.34234028494994995 nm ps⁻¹
-0.11669855913342415 nm ps⁻¹,-0.33587855963309804 nm ps⁻¹,-0.7897476255015127 nm ps⁻¹
-0.07501767378621302 nm ps⁻¹,-0.5304004226524198 nm ps⁻¹,-0.5736524928532499 nm ps⁻¹
0.04314508638610301 nm ps⁻¹,-0.18702072367151862 nm ps⁻¹,-0.606576273367148 nm ps⁻¹
-0.21763092054944994 nm ps⁻¹,-0.25655343983531625 nm ps⁻¹,-0.39657001494179583 nm ps⁻¹
-0.05262182596063918 nm ps⁻¹,-0.3964672251804008 nm ps⁻¹,-0.43361886930510146 nm ps⁻¹
-0.10764431488666631 nm ps⁻¹,-0.34263714626459335 nm ps⁻¹,-0.5654163383902134 nm ps⁻¹
-0.17217189452973936 nm ps⁻¹,-0.35843198623629324 nm ps⁻¹,-0.61710758492348 nm ps⁻¹
-0.04736824724716394 nm ps⁻¹,-0.18178650941122593 nm ps⁻¹,-0.45086795969380844 nm ps⁻¹
